Angle,IntersectionArea_Pixels²
1.67,1073.1821940999032
1.68,1072.8252304277344
1.69,1072.4553451647973
1.7,1072.0725413842902
1.71,1071.6768214237532
1.72,1071.2683027694177
1.73,1070.847676507974
1.74,1070.4150502689047
1.75,1069.9704270697714
1.76,1069.5135453749576
1.77,1069.043838927366
1.78,1068.561291765531
1.79,1068.065907192987
1.8,1067.55768854339
1.81,1067.0366494231996
1.82,1066.5031524615297
1.83,1065.9578460293671
1.84,1065.4007472876394
1.85,1064.8315338112639
1.86,1064.2497960893832
1.87,1063.6555361197206
1.88,1063.0487573865532
1.89,1062.4294633642896
1.9,1061.7976575173898
1.91,1061.1534556746512
1.92,1060.4977139391121
1.93,1059.8306123562033
1.94,1059.1520275445357
1.95,1058.4615073278503
1.96,1057.7590157093698
1.97,1057.0445608005011
1.98,1056.318168858293
1.99,1055.5798420423278
2.0,1054.8297260459617
2.01,1054.0688242487352
2.02,1053.2973337734497
2.03,1052.5152571362116
2.04,1051.7222681738538
2.05,1050.918101090049
2.06,1050.1027620932562
2.07,1049.2762719384214
2.08,1048.438637281997
2.09,1047.5906522399102
2.1,1046.7331135605268
2.11,1045.866013140587
2.12,1044.9893542880172
2.13,1044.103109665089
2.14,1043.2068571256339
2.15,1042.3004638419238
2.16,1041.3842045867939
2.17,1040.4600781479025
2.18,1039.5284980603465
2.19,1038.589484552154
2.2,1037.643041197959
2.21,1036.6891655583424
2.22,1035.728800508546
2.23,1034.7629821587543
2.24,1033.7912639637366
2.25,1032.8136063093236
2.26,1031.8300118703257
2.27,1030.8404833130933
2.28,1029.845114785531
2.29,1028.8449626909467
2.3,1027.8403436565427
2.31,1026.8312604130392
2.32,1025.8176959386842
2.33,1024.7992168590774
2.34,1023.7755759479786
2.35,1022.746775714662
2.36,1021.7131824807768
2.37,1020.675477736059
2.38,1019.6336790579406
2.39,1018.5877934667141
2.4,1017.5378480137709
2.41,1016.4838482048314
2.42,1015.4253816883688
2.43,1014.3620527770212
2.44,1013.2939802828557
2.45,1012.2217964475639
2.46,1011.1455975580601
2.47,1010.0653857751712
2.48,1008.9811632517891
2.49,1007.892950104973
2.5,1006.8006824539146
2.51,1005.7036488513263
2.52,1004.6016649758678
2.53,1003.4948606522439
2.54,1002.3837614684704
2.55,1001.2684232901249
2.56,1000.1488484618003
2.57,999.0250394641932
2.58,997.8968463895803
2.59,996.7633571146629
2.6,995.6244259813988
2.61,994.4800245580104
2.62,993.3301734447193
2.63,992.1753084156771
2.64,991.0156125489701
2.65,989.8508597669285
2.66,988.6797440607259
2.67,987.502086840566
2.68,986.317879041922
2.69,985.1270862074607
2.7,983.9297097289682
2.71,982.7254342094702
2.72,981.5125712020329
2.73,980.2912891929246
2.74,979.0616876215901
2.75,977.8237828137027
2.76,976.5775343196354
2.77,975.3229449986194
2.78,974.0600763851586
2.79,972.7889398101225
2.8,971.5095470274292
2.81,970.2219579625898
2.82,968.9263675161942
2.83,967.623107977775
2.84,966.3122789118552
2.85,964.9942549902842
2.86,963.6690814812848
2.87,962.3368213973105
2.88,960.9974990534674
2.89,959.6510479556953
2.9,958.297458769727
2.91,956.9367665359769
2.92,955.5696655973373
2.93,954.1966066960105
2.94,952.8175429336528
2.95,951.432419731578
2.96,950.0412410602722
2.97,948.6440372370304
2.98,947.2409152132383
2.99,945.831949329382
3.0,944.4173483668636
3.01,942.9972095177238
3.02,941.5720856457999
3.03,940.1420378241723
3.04,938.7070322650146
3.05,937.2668745667684
3.06,935.8215621220412
3.07,934.3715807598746
3.08,932.9170536506191
3.09,931.4578390892161
3.1,929.9940962057707
3.11,928.5264325095735
3.12,927.0550198102277
3.13,925.579843272557
3.14,924.1008394579957
3.15,922.6183400650874
3.16,921.1324598989399
3.17,919.6432007740931
3.18,918.1505644965544
3.19,916.6547620453503
3.2,915.1564166850118
3.21,913.6556291081826
3.22,912.1524133623029
3.23,910.6469866164971
3.24,909.1394675006765
3.25,907.6298569965237
3.26,906.1181400719128
3.27,904.6046284829894
3.28,903.0902106601868
3.29,901.5749316404388
3.3,900.0587916456044
3.31,898.5419196370266
3.32,897.024504541704
3.33,895.5065480314117
3.34,893.9884243597799
3.35,892.4713734498235
3.36,890.9555199962557
