Angle,Aire
0.0,72.18540817193275
0.01,72.26413628703106
0.02,72.34597939000035
0.03,72.43099992817791
0.04,72.5191014208772
0.05,72.61076362195345
0.06,72.70679955544273
0.07,72.80713515491722
0.08,72.9115156587494
0.09,73.01992581669317
0.1,73.13244690060974
0.11,73.24925343368808
0.12,73.3703461323052
0.13,73.49642238242177
0.14,73.62814801190237
0.15,73.76549914392064
0.16,73.90854532617439
0.17,74.0573467424721
0.18,74.2119553289906
0.19,74.3722411681104
0.2,74.53971388809991
0.21,74.71481679342065
0.22,74.8975700746392
0.23,75.08808018251997
0.24,75.2867706355086
0.25,75.49758738498277
0.26,75.72181237338134
0.27,75.9604915532289
0.28,76.23446394639166
0.29,76.69805185777126
0.3,77.70375381564946
0.31,79.78810195970527
0.32,85.63561698442997
0.33,96.44387651121298
0.34,108.56057132383447
0.35,121.36742567633736
0.36,134.4935916858398
0.37,147.6972281255023
0.38,160.93249011091356
0.39,174.1934729034722
0.4,187.4706030892041
0.41,200.76900223045251
0.42,214.08889935509032
0.43,227.43030630100023
0.44,240.79360789872834
0.45,254.19803950000824
0.46,267.65016000971957
0.47,281.15556135168947
0.48,294.7912450770912
0.49,309.52298685698435
0.5,329.0488782993761
0.51,349.5621596484498
0.52,370.9306722143332
0.53,393.84754902560786
0.54,419.653971896857
0.55,445.9418366829223
0.56,472.322570070675
0.57,498.75835333822795
0.58,525.2203235594438
0.59,551.7027657129529
0.6,578.204912345954
0.61,604.7044345843494
0.62,631.108084478367
0.63,657.0609931680261
0.64,680.8097933018635
0.65,696.4818270890687
0.66,710.7310884434581
0.67,724.5183715422382
0.68,738.1697798450542
0.69,751.7951303690978
0.7,765.3950983056134
0.71,778.9757911712959
0.72,792.5394479966955
0.73,806.0835964763941
0.74,819.6057292581422
0.75,833.0853353190417
0.76,846.516581716356
0.77,859.8997951743962
0.78,873.1790202636863
0.79,886.3021451112528
0.8,893.8005017968919
0.81,896.4070817137307
0.82,897.6352880779648
0.83,898.423045596726
0.84,898.9853403391157
0.85,899.4468966810617
0.86,899.8450812680694
0.87,900.2025090145918
0.88,900.5266917938105
0.89,900.8176308287086
0.9,901.0798783772692
0.91,901.323386559021
0.92,901.5492904148696
0.93,901.7570433559655
0.94,901.9454501633372
0.95,902.1158257728059
0.96,902.2737325136296
0.97,902.4196422050713
0.98,902.5535946029984
0.99,902.6756329448784
1.0,902.7857565964667
1.01,902.8840921702813
1.02,902.9724041741285
1.03,903.0533143903868
1.04,903.1267024719652
1.05,903.1925895986199
1.06,903.2509938708488
1.07,903.3018130440346
1.08,903.3447906467487
1.09,903.3797285479764
1.1,903.4066325535345
1.11,903.4257563318612
1.12,903.4393274824465
1.13,903.4478901146523
1.14,903.4505148294003
1.15,903.4471981304279
1.16,903.4379799640624
1.17,903.4228196997807
1.18,903.4016324952039
1.19,903.374417759055
1.2,903.3411744052764
1.21,903.3018911936472
1.22,903.2557532208857
1.23,903.2020937822541
1.24,903.1425599069609
1.25,903.0772044683364
1.26,903.005659106797
1.27,902.9277839934391
1.28,902.8434790428261
1.29,902.7526071330396
1.3,902.6520095530094
1.31,902.5401822703622
1.32,902.4171196355369
1.33,902.2828142698567
1.34,902.1377279975504
1.35,901.9802460931786
1.36,901.8006713500943
1.37,901.5981290932488
1.38,901.3631527540431
1.39,901.0301604239518
1.4,900.5544304621757
1.41,899.5163275030967
1.42,894.0446555345251
1.43,882.0296463478859
1.44,868.7628537246902
1.45,855.4486199883323
1.46,842.0938580525632
1.47,828.7265458338663
1.48,815.348675458185
1.49,801.9555634919492
1.5,788.5466232726503
1.51,775.121864332623
1.52,761.6812878050619
1.53,748.225238167953
1.54,734.7597575046485
1.55,721.2763750682652
1.56,707.7719922725092
1.57,694.2466929799805
1.58,680.692078312162
1.59,667.0716461750509
1.6,649.7495202472193
1.61,629.3157345722785
1.62,607.4329065197797
1.63,584.0330297187799
1.64,559.015293743363
1.65,532.4681369149247
1.66,505.64678908489714
1.67,478.8393037452792
1.68,452.04992962254727
