Nom,Somme
0.0,574.0
0.01,574.0
0.02,574.0
0.03,574.0
0.04,574.0
0.05,574.0
0.06,576.0
0.07,567.0
0.08,584.0
0.09,590.0
0.1,588.0
0.11,595.0
0.12,596.0
0.13,596.0
0.14,596.0
0.15,596.0
0.16,595.0
0.17,589.0
0.18,603.0
0.19,607.0
0.2,607.0
0.21,608.0
0.22,608.0
0.23,608.0
0.24,608.0
0.25,608.0
0.26,608.0
0.27,608.0
0.28,606.0
0.29,604.0
0.3,602.0
0.31,591.0
0.32,605.0
0.33,611.0
0.34,611.0
0.35,611.0
0.36,611.0
0.37,611.0
0.38,611.0
0.39,611.0
0.4,608.0
0.41,604.0
0.42,602.0
0.43,607.0
0.44,609.0
0.45,611.0
0.46,609.0
0.47,611.0
0.48,610.0
0.49,612.0
0.5,612.0
0.51,612.0
0.52,612.0
0.53,609.0
0.54,603.0
0.55,601.0
0.56,589.0
0.5700000000000001,599.0
0.58,598.0
0.59,599.0
0.6,599.0
0.61,599.0
0.62,599.0
0.63,599.0
0.64,597.0
0.65,594.0
0.66,585.0
0.67,585.0
0.68,582.0
0.6900000000000001,578.0
0.7000000000000001,580.0
0.71,582.0
0.72,583.0
0.73,583.0
0.74,583.0
0.75,582.0
0.76,578.0
0.77,575.0
0.78,572.0
0.79,572.0
0.8,574.0
0.81,577.0
0.8200000000000001,571.0
0.8300000000000001,573.0
0.84,574.0
0.85,571.0
0.86,570.0
0.87,568.0
0.88,566.0
0.89,562.0
0.9,556.0
0.91,555.0
0.92,556.0
0.93,548.0
0.94,550.0
0.95,555.0
0.96,557.0
0.97,554.0
0.98,556.0
0.99,552.0
1.0,551.0
1.01,548.0
1.02,551.0
1.03,550.0
1.04,548.0
1.05,554.0
1.06,550.0
1.07,548.0
1.08,544.0
1.09,543.0
1.1,543.0
1.11,543.0
1.12,540.0
1.13,539.0
1.14,535.0
1.15,540.0
1.16,539.0
1.17,542.0
1.18,540.0
1.19,540.0
1.2,541.0
1.21,543.0
1.22,542.0
1.23,536.0
1.24,532.0
1.25,530.0
1.26,531.0
1.27,529.0
1.28,533.0
1.29,528.0
1.3,530.0
1.31,528.0
1.32,528.0
1.33,527.0
1.34,526.0
1.35,524.0
1.36,521.0
1.37,522.0
1.38,520.0
1.39,524.0
1.4,521.0
1.41,520.0
1.42,520.0
1.43,512.0
1.44,512.0
1.45,511.0
1.46,504.0
1.47,501.0
1.48,501.0
1.49,501.0
1.5,502.0
1.51,502.0
1.52,504.0
1.53,502.0
1.54,502.0
1.55,503.0
1.56,502.0
1.57,502.0
1.58,498.0
1.59,497.0
1.6,494.0
1.61,491.0
1.62,489.0
1.63,484.0
1.64,484.0
1.65,483.0
1.66,490.0
1.67,487.0
1.68,482.0
1.69,480.0
1.7,483.0
1.71,481.0
1.72,484.0
1.73,488.0
1.74,486.0
1.75,489.0
1.76,493.0
1.77,493.0
1.78,492.0
1.79,492.0
1.8,491.0
1.81,492.0
1.82,488.0
1.83,492.0
1.84,492.0
1.85,494.0
1.86,498.0
1.87,501.0
1.88,502.0
1.89,500.0
1.9,506.0
1.91,503.0
1.92,500.0
1.93,504.0
1.94,509.0
1.95,509.0
1.96,512.0
1.97,512.0
1.98,511.0
1.99,513.0
2.0,515.0
2.01,517.0
2.02,516.0
2.03,515.0
2.04,518.0
2.05,516.0
2.06,515.0
2.07,515.0
2.08,519.0
2.09,521.0
2.1,527.0
2.11,528.0
2.12,526.0
