Nom,Somme
0.0,578.0
0.01,578.0
0.02,578.0
0.03,578.0
0.04,578.0
0.05,578.0
0.06,578.0
0.07,579.0
0.08,558.0
0.09,547.0
0.1,579.0
0.11,579.0
0.12,579.0
0.13,579.0
0.14,579.0
0.15,579.0
0.16,579.0
0.17,579.0
0.18,579.0
0.19,579.0
0.2,579.0
0.21,584.0
0.22,580.0
0.23,579.0
0.24,579.0
0.25,566.0
0.26,550.0
0.27,553.0
0.28,562.0
0.29,567.0
0.3,567.0
0.31,567.0
0.32,568.0
0.33,568.0
0.34,570.0
0.35,566.0
0.36,563.0
0.37,563.0
0.38,564.0
0.39,565.0
0.4,564.0
0.41,560.0
0.42,553.0
0.43,542.0
0.44,529.0
0.45,539.0
0.46,541.0
0.47,546.0
0.48,544.0
0.49,543.0
0.5,542.0
0.51,542.0
0.52,542.0
0.53,543.0
0.54,544.0
0.55,545.0
0.56,544.0
0.5700000000000001,543.0
0.58,536.0
0.59,533.0
0.6,525.0
0.61,512.0
0.62,516.0
0.63,514.0
0.64,518.0
0.65,521.0
0.66,521.0
0.67,521.0
0.68,522.0
0.6900000000000001,523.0
0.7000000000000001,522.0
0.71,523.0
0.72,521.0
0.73,521.0
0.74,519.0
0.75,514.0
0.76,511.0
0.77,500.0
0.78,493.0
0.79,486.0
0.8,486.0
0.81,485.0
0.8200000000000001,486.0
0.8300000000000001,490.0
0.84,494.0
0.85,493.0
0.86,494.0
0.87,492.0
0.88,493.0
0.89,492.0
0.9,488.0
0.91,485.0
0.92,479.0
0.93,475.0
0.94,469.0
0.95,463.0
0.96,458.0
0.97,455.0
0.98,453.0
0.99,452.0
1.0,452.0
1.01,454.0
1.02,452.0
1.03,453.0
1.04,454.0
1.05,452.0
1.06,450.0
1.07,449.0
1.08,445.0
1.09,441.0
1.1,435.0
1.11,426.0
1.12,423.0
1.13,418.0
1.14,411.0
1.15,410.0
1.16,408.0
1.17,403.0
1.18,405.0
1.19,405.0
1.2,407.0
1.21,408.0
1.22,408.0
1.23,408.0
1.24,406.0
1.25,403.0
1.26,401.0
1.27,393.0
1.28,388.0
1.29,385.0
1.3,384.0
1.31,377.0
1.32,377.0
1.33,375.0
1.34,373.0
1.35,375.0
1.36,375.0
1.37,374.0
1.38,377.0
1.39,380.0
1.4,379.0
1.41,379.0
1.42,377.0
1.43,375.0
1.44,370.0
1.45,368.0
1.46,366.0
1.47,365.0
1.48,361.0
1.49,357.0
1.5,358.0
1.51,359.0
1.52,358.0
1.53,360.0
1.54,360.0
1.55,361.0
1.56,363.0
1.57,361.0
1.58,361.0
1.59,359.0
1.6,358.0
1.61,356.0
1.62,353.0
1.63,353.0
1.64,356.0
1.65,351.0
1.66,350.0
1.67,350.0
1.68,351.0
1.69,351.0
1.7,355.0
1.71,355.0
1.72,355.0
1.73,355.0
1.74,352.0
1.75,352.0
1.76,351.0
1.77,352.0
1.78,351.0
1.79,350.0
1.8,352.0
1.81,352.0
1.82,351.0
1.83,350.0
1.84,350.0
1.85,352.0
1.86,350.0
1.87,353.0
1.88,352.0
1.89,351.0
1.9,350.0
1.91,351.0
1.92,351.0
1.93,350.0
1.94,353.0
1.95,353.0
1.96,359.0
1.97,362.0
1.98,361.0
1.99,362.0
2.0,360.0
2.01,359.0
2.02,361.0
2.03,359.0
2.04,362.0
2.05,363.0
2.06,365.0
2.07,367.0
2.08,364.0
2.09,365.0
2.1,366.0
2.11,366.0
2.12,367.0
2.13,372.0
2.14,372.0
2.15,373.0
2.16,371.0
2.17,370.0
2.18,370.0
2.19,370.0
2.2,375.0
2.21,378.0
2.22,381.0
2.23,382.0
2.24,382.0
2.25,383.0
2.26,384.0
2.27,384.0
2.28,387.0
2.29,388.0
2.3,392.0
2.31,395.0
2.32,398.0
2.33,399.0
2.34,397.0
2.35,401.0
2.36,402.0
2.37,404.0
2.38,408.0
2.39,409.0
2.4,410.0
2.41,410.0
2.42,411.0
2.43,411.0
2.44,413.0
2.45,416.0
2.46,422.0
2.47,423.0
2.48,427.0
2.49,428.0
2.5,432.0
2.51,434.0
2.52,433.0
2.53,432.0
2.54,433.0
2.55,436.0
2.56,438.0
2.57,439.0
2.58,441.0
2.59,441.0
2.6,441.0
2.61,445.0
2.62,447.0
2.63,448.0
2.64,451.0
2.65,451.0
2.66,453.0
2.67,455.0
2.68,458.0
2.69,456.0
2.7,457.0
2.71,457.0
2.72,458.0
2.73,461.0
2.74,463.0
2.75,465.0
2.76,468.0
2.77,471.0
2.78,470.0
2.79,473.0
2.8,475.0
2.81,475.0
2.82,477.0
2.83,481.0
2.84,479.0
2.85,481.0
2.86,479.0
2.87,479.0
2.88,481.0
2.89,487.0
2.9,488.0
2.91,492.0
2.92,492.0
2.93,492.0
2.94,495.0
2.95,499.0
2.96,500.0
2.97,500.0
2.98,500.0
2.99,501.0
3.0,502.0
3.01,505.0
3.02,506.0
3.03,504.0
3.04,506.0
3.05,507.0
3.06,510.0
3.07,510.0
3.08,513.0
3.09,514.0
3.1,520.0
3.11,526.0
3.12,526.0
3.13,523.0
3.14,524.0
3.15,523.0
3.16,524.0
3.17,522.0
3.18,523.0
3.19,525.0
3.2,525.0
3.21,525.0
3.22,527.0
3.23,529.0
3.24,533.0
3.25,533.0
3.26,535.0
3.27,541.0
3.28,539.0
3.29,541.0
3.3,542.0
3.31,543.0
3.32,541.0
3.33,544.0
3.34,546.0
3.35,545.0
3.36,545.0
3.37,547.0
3.38,546.0
3.39,546.0
3.4,548.0
3.41,552.0
3.42,554.0
3.43,554.0
3.44,559.0
3.45,561.0
3.46,561.0
3.47,563.0
3.48,563.0
3.49,566.0
3.5,565.0
3.51,564.0
3.52,566.0
3.53,563.0
3.54,564.0
3.55,564.0
3.56,566.0
3.57,567.0
3.58,568.0
3.59,571.0
3.6,572.0
3.61,571.0
3.62,573.0
3.63,570.0
3.64,572.0
3.65,574.0
3.66,575.0
3.67,575.0
3.68,575.0
3.69,573.0
3.7,575.0
3.71,573.0
3.72,575.0
3.73,577.0
3.74,576.0
3.75,578.0
3.76,577.0
3.77,577.0
3.78,577.0
3.79,573.0
3.8,574.0
3.81,574.0
3.82,574.0
3.83,574.0
3.84,577.0
3.85,578.0
3.86,576.0
3.87,575.0
3.88,574.0
3.89,576.0
3.9,574.0
3.91,575.0
3.92,570.0
3.93,569.0
3.94,571.0
3.95,570.0
3.96,572.0
3.97,571.0
3.98,571.0
3.99,566.0
4.0,569.0
4.01,567.0
4.02,566.0
4.03,565.0
4.04,565.0
4.05,562.0
4.06,558.0
4.07,560.0
4.08,557.0
4.09,550.0
4.1,549.0
4.11,548.0
4.12,549.0
4.13,548.0
4.14,549.0
4.15,545.0
4.16,544.0
4.17,545.0
4.18,542.0
4.19,542.0
4.2,541.0
4.21,541.0
4.22,538.0
4.23,537.0
4.24,535.0
4.25,533.0
4.26,528.0
4.27,528.0
4.28,527.0
4.29,528.0
4.3,523.0
4.31,524.0
4.32,524.0
4.33,520.0
4.34,521.0
4.350000000000001,517.0
4.36,517.0
4.37,517.0
4.38,516.0
4.39,513.0
4.4,513.0
4.41,509.0
4.42,511.0
4.43,507.0
4.44,504.0
4.45,502.0
4.46,501.0
4.47,498.0
4.48,499.0
4.49,496.0
4.5,495.0
4.51,493.0
4.52,490.0
4.53,486.0
4.54,488.0
4.55,486.0
4.56,484.0
4.57,482.0
4.58,480.0
4.59,476.0
4.600000000000001,475.0
4.61,472.0
4.62,470.0
4.63,466.0
4.64,460.0
4.65,457.0
4.66,457.0
4.67,452.0
4.68,449.0
4.69,446.0
4.7,445.0
4.71,444.0
4.72,442.0
4.73,438.0
4.74,434.0
4.75,432.0
4.76,428.0
4.77,426.0
4.78,425.0
4.79,418.0
4.8,416.0
4.81,415.0
4.82,408.0
4.83,408.0
4.84,408.0
4.850000000000001,405.0
4.86,405.0
4.87,403.0
4.88,400.0
4.89,396.0
4.9,395.0
4.91,393.0
4.92,390.0
4.93,387.0
4.94,384.0
4.95,382.0
4.96,378.0
4.97,377.0
4.98,375.0
4.99,376.0
5.0,372.0
5.01,372.0
5.02,370.0
5.03,373.0
5.04,369.0
5.05,366.0
5.06,365.0
5.07,357.0
5.08,360.0
5.09,354.0
5.100000000000001,355.0
5.11,352.0
5.12,351.0
5.13,345.0
5.14,349.0
5.15,347.0
5.16,349.0
5.17,348.0
5.18,347.0
5.19,349.0
5.2,345.0
5.21,344.0
5.22,340.0
5.23,340.0
5.24,338.0
5.25,340.0
5.26,340.0
5.27,340.0
5.28,340.0
5.29,340.0
5.3,338.0
5.31,340.0
5.32,338.0
5.33,338.0
5.34,335.0
5.350000000000001,336.0
5.36,339.0
5.37,337.0
5.38,336.0
5.39,336.0
5.4,333.0
5.41,334.0
5.42,336.0
5.43,333.0
5.44,336.0
5.45,337.0
5.46,338.0
5.47,336.0
5.48,336.0
5.49,335.0
5.5,335.0
5.51,332.0
5.52,334.0
5.53,332.0
5.54,333.0
5.55,333.0
5.56,333.0
5.57,333.0
5.58,333.0
5.59,337.0
5.600000000000001,333.0
5.61,337.0
5.62,336.0
5.63,335.0
5.64,334.0
5.65,338.0
5.66,337.0
5.67,336.0
5.68,336.0
5.69,337.0
5.7,336.0
5.71,338.0
5.72,340.0
5.73,341.0
5.74,343.0
5.75,344.0
5.76,350.0
5.77,347.0
5.78,348.0
5.79,349.0
5.8,349.0
5.81,351.0
5.82,353.0
5.83,353.0
5.84,354.0
5.850000000000001,356.0
5.86,356.0
5.87,359.0
5.88,362.0
5.89,363.0
5.9,369.0
5.91,370.0
5.92,372.0
5.93,371.0
5.94,375.0
5.95,375.0
5.96,376.0
5.97,381.0
5.98,378.0
5.99,380.0
6.0,381.0
6.01,383.0
6.02,386.0
