Angle (°),1
0.0,97
0.01,97
0.02,97
0.03,97
0.04,97
0.05,97
0.06,97
0.07,97
0.08,99
0.09,95
0.1,95
0.11,98
0.12,98
0.13,98
0.14,98
0.15,97
0.16,97
0.17,97
0.18,97
0.19,97
0.2,97
0.21,96
0.22,94
0.23,96
0.24,98
0.25,98
0.26,98
0.27,98
0.28,98
0.29,98
0.3,98
0.31,98
0.32,98
0.33,98
0.34,98
0.35,98
0.36,98
0.37,98
0.38,98
0.39,97
0.4,96
0.41,97
0.42,100
0.43,100
0.44,100
0.45,99
0.46,99
0.47,99
0.48,99
0.49,99
0.5,99
0.51,99
0.52,99
0.53,99
0.54,99
0.55,100
0.56,100
0.5700000000000001,100
0.58,100
0.59,100
0.6,100
0.61,100
0.62,100
0.63,100
0.64,100
0.65,100
0.66,100
0.67,100
0.68,100
0.6900000000000001,98
0.7000000000000001,97
0.71,98
0.72,98
0.73,100
0.74,100
0.75,100
0.76,100
0.77,100
0.78,100
0.79,100
0.8,100
0.81,100
0.8200000000000001,100
0.8300000000000001,100
0.84,101
0.85,103
0.86,103
0.87,102
0.88,102
0.89,102
0.9,102
0.91,102
0.92,102
0.93,102
0.94,102
0.95,102
0.96,102
0.97,101
0.98,100
0.99,100
1.0,99
1.01,99
1.02,99
1.03,100
1.04,103
1.05,103
1.06,103
1.07,103
1.08,103
1.09,103
1.1,103
1.11,103
1.12,103
1.13,103
1.14,103
1.15,104
1.16,105
1.17,106
1.18,107
1.19,104
1.2,105
1.21,105
1.22,105
1.23,105
1.24,105
1.25,105
1.26,104
1.27,104
1.28,103
1.29,103
1.3,104
1.31,107
1.32,104
1.33,103
1.34,105
1.35,107
1.36,107
1.37,107
1.38,107
1.39,107
1.4,107
1.41,107
1.42,107
1.43,107
1.44,107
1.45,107
1.46,107
1.47,108
1.48,110
1.49,110
1.5,107
1.51,109
1.52,109
1.53,109
1.54,109
1.55,109
1.56,109
1.57,109
1.58,109
1.59,108
1.6,109
1.61,111
1.62,112
1.63,111
1.64,108
1.65,109
1.66,111
1.67,111
1.68,111
1.69,111
1.7,111
1.71,111
1.72,111
1.73,111
1.74,111
1.75,111
1.76,111
1.77,109
1.78,113
1.79,113
1.8,113
1.81,110
1.82,111
1.83,111
1.84,112
1.85,112
1.86,112
1.87,112
1.88,112
1.89,112
1.9,112
1.91,112
1.92,115
1.93,115
1.94,115
1.95,111
1.96,112
1.97,114
1.98,114
1.99,114
2.0,114
2.01,114
2.02,114
2.03,114
2.04,115
2.05,115
2.06,115
2.07,113
2.08,114
2.09,115
2.1,117
2.11,117
2.12,114
2.13,114
2.14,114
2.15,115
2.16,116
2.17,117
2.18,117
2.19,118
2.2,118
2.21,117
2.22,119
2.23,119
2.24,119
2.25,119
2.26,119
2.27,116
2.28,118
2.29,118
2.3,118
2.31,118
2.32,118
2.33,118
2.34,119
2.35,119
2.36,118
2.37,118
2.38,117
2.39,118
2.4,120
2.41,121
2.42,122
2.43,118
2.44,117
2.45,117
2.46,118
2.47,121
2.48,121
2.49,121
2.5,122
2.51,123
2.52,122
2.53,123
2.54,123
2.55,123
2.56,123
2.57,124
2.58,122
2.59,122
2.6,123
2.61,123
2.62,122
2.63,122
2.64,124
2.65,124
2.66,122
2.67,121
2.68,120
2.69,121
2.7,122
2.71,124
2.72,125
2.73,123
2.74,122
2.75,122
2.76,121
2.77,123
2.78,125
2.79,126
2.8,126
2.81,127
2.82,128
2.83,127
2.84,128
2.85,128
2.86,128
2.87,128
2.88,129
2.89,128
2.9,128
2.91,128
2.92,128
2.93,129
2.94,130
2.95,130
2.96,129
2.97,127
2.98,126
2.99,127
3.0,128
3.01,130
3.02,132
3.03,131
3.04,129
3.05,128
3.06,128
3.07,128
3.08,129
3.09,130
3.1,133
3.11,134
3.12,133
3.13,133
3.14,133
3.15,134
3.16,133
3.17,133
3.18,133
3.19,133
3.2,134
3.21,134
3.22,133
3.23,134
3.24,136
3.25,135
3.26,132
3.27,131
3.28,130
3.29,131
3.3,131
3.31,133
3.32,134
3.33,136
3.34,134
3.35,134
3.36,134
3.37,134
3.38,133
3.39,134
3.4,135
3.41,138
3.42,139
3.43,139
3.44,140
3.45,139
3.46,139
3.47,139
3.48,139
3.49,139
3.5,139
3.51,140
3.52,140
3.53,142
3.54,142
3.55,143
3.56,141
3.57,139
3.58,138
3.59,137
3.6,139
3.61,140
3.62,141
3.63,143
3.64,144
3.65,143
3.66,143
3.67,142
3.68,142
3.69,141
3.7,142
3.71,143
3.72,145
3.73,146
3.74,147
3.75,147
3.76,145
3.77,146
3.78,146
3.79,146
3.8,146
3.81,147
3.82,149
3.83,149
3.84,150
3.85,149
3.86,148
3.87,147
3.88,146
3.89,147
3.9,146
3.91,146
3.92,147
3.93,149
3.94,150
3.95,152
3.96,152
3.97,151
3.98,150
3.99,148
4.0,148
4.01,147
4.02,150
4.03,150
4.04,151
4.05,153
4.06,152
4.07,152
4.08,152
4.09,152
4.1,154
4.11,155
4.12,155
4.13,156
4.14,157
4.15,157
4.16,155
4.17,153
4.18,154
4.19,153
4.2,155
4.21,153
4.22,155
4.23,155
4.24,157
4.25,158
4.26,160
4.27,160
4.28,158
4.29,156
4.3,156
4.31,155
4.32,156
4.33,156
4.34,156
4.350000000000001,157
4.36,158
4.37,158
4.38,159
4.39,160
4.4,161
4.41,161
4.42,161
4.43,162
4.44,162
4.45,163
4.46,161
4.47,161
4.48,159
4.49,159
4.5,161
4.51,160
4.52,161
4.53,161
4.54,163
4.55,163
4.56,164
4.57,166
4.58,164
4.59,162
4.600000000000001,161
4.61,161
4.62,161
4.63,162
4.64,162
4.65,161
4.66,162
4.67,162
4.68,165
4.69,166
4.7,166
4.71,166
4.72,166
4.73,167
4.74,168
4.75,167
4.76,167
4.77,165
4.78,166
4.79,164
4.8,164
4.81,167
4.82,167
4.83,167
4.84,167
4.850000000000001,168
4.86,168
4.87,170
4.88,170
4.89,169
4.9,168
4.91,167
4.92,166
4.93,167
4.94,165
4.95,168
4.96,167
4.97,168
4.98,169
4.99,169
5.0,170
5.01,171
5.02,171
5.03,172
5.04,172
5.05,173
5.06,171
5.07,171
5.08,170
5.09,169
5.100000000000001,170
5.11,171
5.12,172
5.13,171
5.14,172
5.15,174
5.16,172
5.17,173
5.18,173
5.19,174
5.2,173
5.21,173
5.22,172
5.23,172
5.24,170
5.25,170
5.26,171
5.27,171
5.28,173
5.29,171
5.3,172
5.31,173
5.32,174
5.33,175
5.34,176
5.350000000000001,176
5.36,176
5.37,174
5.38,173
5.39,173
5.4,173
5.41,174
5.42,173
5.43,173
5.44,173
5.45,172
5.46,175
5.47,174
5.48,175
5.49,175
5.5,176
5.51,176
5.52,176
5.53,174
5.54,173
5.55,172
5.56,172
5.57,172
5.58,175
5.59,173
5.600000000000001,174
5.61,175
5.62,173
5.63,176
5.64,177
5.65,178
5.66,178
5.67,177
5.68,175
5.69,176
5.7,175
5.71,176
5.72,177
5.73,175
5.74,176
5.75,177
5.76,175
