Nom,Somme
0.0,45.4185645812646
0.01,50.81960469588525
0.02,56.58335133052351
0.03,62.6870780274468
0.04,69.10202494031098
0.05,75.82215336813874
0.06,82.84432788953646
0.07,90.1651590934328
0.08,97.78289421193573
0.09,105.69506090385808
0.1,113.9002737329476
0.11,122.39713992880493
0.12,131.1648281647538
0.13,139.88449785234397
0.14,148.64383123437025
0.15,157.48422044301245
0.16,166.423791674736
0.17,175.4747302842819
0.18,184.64945251440824
0.19,193.95832575288512
0.2,203.40768462195948
0.21,213.00429716672627
0.22,222.7512883029588
0.23,232.67261156232155
0.24,242.8400076891627
0.25,253.26062220772056
0.26,263.9361884925089
0.27,274.86816977246787
0.28,286.05790090793556
0.29,297.5069081422232
0.3,309.2166498315385
0.31,321.1885357169406
0.32,333.4239659906482
0.33,345.9058137085435
0.34,358.4633073951886
0.35,370.7460852206471
0.36,382.93471175248055
0.37,395.0800202451378
0.38,407.2057465869062
0.39,419.3293307560722
0.4,431.46249640937424
0.41,443.6118889746982
0.42,455.77259130181744
0.43,467.9452574607078
0.44,480.13132904070693
0.45,492.33268737214956
0.46,504.5494332722055
0.47,516.7822721889933
0.48,529.0312438286986
0.49,541.2951798972492
0.5,553.5755558741616
0.51,565.869998706398
0.52,578.1746356271518
0.53,590.4829922928616
0.54,602.7882072095448
0.55,615.0839568520664
0.56,627.3632769537531
0.57,639.6181752094994
0.58,651.8402979011855
0.59,664.0183551452094
0.6,676.1351508778416
0.61,688.1537273939409
0.62,700.0188244342281
0.63,711.7133637564968
0.64,723.2307687823954
0.65,734.5670036682096
0.66,745.7170958419958
0.67,756.6770137869098
0.68,767.4414770636179
0.69,778.0058290941275
0.7,788.3643537035166
0.71,798.509452895862
0.72,808.4316476267186
0.73,818.115542648824
0.74,827.5236614879404
0.75,836.6140768987163
0.76,845.3674476771112
0.77,853.7779654742944
0.78,861.8471216164464
0.79,869.5733727895788
0.8,876.9508297693876
0.81,883.98097773983
0.82,890.6657090549171
0.83,897.0047177710388
0.84,902.9937145590634
0.85,908.6362508635139
0.86,913.9358672002211
0.87,918.8955300920413
0.88,923.5139490284394
0.89,927.7956006910036
0.9,931.7469602349993
0.91,935.3747946917714
0.92,938.6893714254345
0.93,941.7075165679003
0.94,944.4647094144591
0.95,947.0227445054898
0.96,949.4018715282925
0.97,951.607452289942
0.98,953.6420268854864
0.99,955.5091323768754
1.0,957.211003412943
1.01,958.7506376015099
1.02,960.1304343741149
1.03,961.3534187767816
1.04,962.4236177242876
1.05,963.3449486317038
1.06,964.1224115428968
1.07,964.7631280736025
1.08,965.2768122804215
1.09,965.6800747216021
1.1,966.0090132469186
1.11,966.2909369950529
1.12,966.5376417677766
1.13,966.7493955436354
1.14,966.9273084544461
1.15,967.0803989576984
1.16,967.2107562654899
1.17,967.3183762748886
1.18,967.4037346192499
1.19,967.4737989813157
1.2,967.5306448303795
1.21,967.5743354264077
1.22,967.6050724841405
1.23,967.6285415678487
1.24,967.647773308903
1.25,967.6625960130027
1.26,967.6737749222025
1.27,967.6818817084538
1.28,967.6870091573122
1.29,967.6896004147767
1.3,967.6898224658262
1.31,967.6875258020359
1.32,967.682775003657
1.33,967.6757745992227
1.34,967.6666993131538
1.35,967.6556617709214
1.36,967.6427653407625
1.37,967.6281347696302
1.38,967.6118299201755
1.39,967.5939081154653
1.4,967.5745852476348
1.41,967.5539386501925
1.42,967.5319980403613
1.43,967.5087943948033
1.44,967.484384537234
1.45,967.458878093018
1.46,967.4324874204551
1.47,967.4052813464186
1.48,967.3772884020611
1.49,967.348459240563
1.5,967.3187617022178
1.51,967.2882796306266
1.52,967.2572478191955
1.53,967.2256962631186
1.54,967.193669523366
1.55,967.1611837474583
1.56,967.1282307518485
1.57,967.0947161472561
1.58,967.0608094506775
1.59,967.0265648078978
1.6,966.9920235501597
1.61,966.9571923027081
1.62,966.9220635770287
1.63,966.8866125776105
1.64,966.8507521684469
1.65,966.8144690219751
1.66,966.7777762401547
1.67,966.7406283264661
1.68,966.7029799287533
1.69,966.6648127082829
1.7,966.6259321084383
1.71,966.5860450125926
1.72,966.5450762979953
1.73,966.5029850429287
1.74,966.4598193436791
1.75,966.4156059119357
1.76,966.3697443202991
1.77,966.3219356204028
1.78,966.2721517311372
1.79,966.2204176864328
1.8,966.1666623483404
1.81,966.1099851341094
1.82,966.0502460229752
1.83,965.9874606561393
1.84,965.9215951220731
1.85,965.8515140918014
1.86,965.7767303942646
1.87,965.6971891750197
1.88,965.6124978896347
1.89,965.520927110665
1.9,965.4224393413382
1.91,965.3167647700288
1.92,965.2014531298997
1.93,965.0759873013857
1.94,964.9390519913793
1.95,964.787612287074
1.96,964.6207308436901
1.97,964.4341965369986
1.98,964.2259975448638
1.99,963.9902566343219
2.0,963.7214840791423
2.01,963.4123040677032
2.02,963.0530250198267
2.03,962.6330404448829
2.04,962.1415247194302
2.05,961.5692925482629
2.06,960.9114428461016
2.07,960.1677912082864
2.08,959.3406161447022
2.09,958.4319315868509
2.1,957.4443348742045
2.11,956.3786062658746
2.12,955.2369183538343
2.13,954.0198266372004
2.14,952.7299423427119
2.15,951.3677858778703
2.16,949.9344629115477
2.17,948.4304936553119
2.18,946.8566292790035
2.19,945.2117564547366
2.2,943.4831301862669
2.21,941.668031528564
2.22,939.7531358457786
2.23,937.734066030186
2.24,935.6013475067168
2.25,933.3497199033766
2.26,930.974742231329
2.27,928.4662844468327
2.28,925.8245828158183
2.29,923.0364608307887
2.3,920.1030755846185
2.31,917.0086547771448
2.32,913.7546806613873
2.33,910.3403183904751
2.34,906.7867042524356
2.35,903.1167334494992
2.36,899.3480425915536
2.37,895.4979069766132
2.38,891.5811644199388
2.39,887.6072728332806
2.4,883.583223024682
2.41,879.5097700009428
2.42,875.3895605871089
2.43,871.2223986261884
2.44,867.0107850787397
2.45,862.7547230768537
2.46,858.455194775079
2.47,854.1146463024859
2.48,849.7317522550916
